objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
Japan_00001,Senso-Ji - Kaminarimon Gate,Sean Murphy,2023:10:05 17:25:35,Kaminarimon is the gate to the Buddhist Senso-Ji shrine. It marks the entrance to Nakamise Market Street.,Senso-Ji;Asakusa;Tokyo;Kaminarimon Gate;landmark;day,"Asakusa, Taito City, Tokyo, Japan",35.71113208,139.7963991,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00001.jpg,,,,
Japan_00002,Shibuya Neighborhood,Sean Murphy,2023:09:27 20:56:29,This was the first street we walked down after we first touched down during our first trip to Japan. We thought it was so clean and cozy-feeling!,Shibuya;Tokyo;Neko Neko Inn;neighborhood;night,"Shibuya, Tokyo, Japan",35.67797011,139.6926924,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00002.jpg,,,,
Japan_00003,Vending Machines,Sean Murphy,2023:09:27 20:58:43,We were so excited to find vending machines. Little did we know that these would be the first of literally hundreds we would see everywhere.,Shibuya;Tokyo;Life & Culture;night,"Shibuya, Tokyo, Japan",35.67213547,139.6917959,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00003.jpg,,,,
Japan_00005,Ducks - Yoyogi Park,Sean Murphy,2023:09:27 21:16:17,We found ducks in Yoyogi Park! We have yet to make a positive species ID.,Shibuya;Tokyo;Yoyogi Park;wildlife;night,"Shibuya, Tokyo, Japan",35.67214806,139.6917494,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00005.jpg,,,,
Japan_00006,Ducks - Yoyogi Park,Sean Murphy,2023:09:27 21:16:18,We found ducks in Yoyogi Park! We have yet to make a positive species ID.,Shibuya;Tokyo;Yoyogi Park;wildlife;night,"Shibuya, Tokyo, Japan",35.67214806,139.6917494,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00006.jpg,,,,
Japan_00007,Shibuya from Yoyogi Park,Sean Murphy,2023:09:27 21:21:54,"Walking south through Yoyogi Park, there was a bridge connecting the park to the Shibuya neighborhood, flying over what was, at the time, being used as an event grounds for a Hokkaido Fair.",Shibuya;Tokyo;Yoyogi Park;night,"Shibuya, Tokyo, Japan",35.66847619,139.6966295,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00007.jpg,,,,
Japan_00008,Goose Island Brewpub,Sean Murphy,2023:09:27 21:30:21,"As we walked through Shibuya during our first evening in Japan, we were shocked to see a familiar sight - a giant goose head from Chicago's Goose Island Brewery, one of our own local breweries!",Shibuya;Tokyo;Life & Culture;night,"Shibuya, Tokyo, Japan",35.66327004,139.698983,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00008.jpg,,,,
Japan_00009,Shibuya Shopping District,Sean Murphy,2023:09:27 21:52:06,Shibuya was so lively our first night. We even saw an Ikea!,Shibuya;Tokyo;shopping;night,"Shibuya, Tokyo, Japan",35.66077854,139.7001983,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00009.jpg,,,,
Japan_00010,Shibuya Shopping District,Sean Murphy,2023:09:27 21:52:11,"A closer shot of the Ikea sign, but more importantly - a huge poster for the Gurren Lagaan movie!",Shibuya;Tokyo;shopping;night,"Shibuya, Tokyo, Japan",35.66077854,139.7001983,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00010.jpg,,,,
Japan_00011,Hachiko Statue,Sean Murphy,2023:09:27 22:30:10,"The famous Hachiko statue outside of Shibuya Station. The statue memorializes the story of the loyal pup who waited for his master every day at the station, even after his master's tragic death.",Shibuya;Tokyo;landmark;night,"Shibuya, Tokyo, Japan",35.66006219,139.7029231,,,Image;StillImage,image/jpg,eng,In Copyright,,image,/objects/japan00011.jpg,,,,
